BRC code,Taxon name,L,F,R,N,S
0920  2527,Acaena novae-zelandiae,8,3,6,3,0
0920     3,Acer campestre,5,5,7,6,0
0920     4,Acer platanoides,4,5,7,7,0
0920     5,Acer pseudoplatanus,4,5,6,6,0
0920     6,Aceras anthropophorum,7,4,8,3,0
0920     7,Achillea millefolium,7,5,6,4,1
0920     9,Achillea ptarmica,7,7,5,3,0
0920    14,Aconitum napellus,5,7,7,6,0
0920  3305,Aconitum napellus sens. lat.,5,7,7,6,0
0920    15,Acorus calamus,8,10,7,7,0
0920    16,Actaea spicata,3,5,8,6,0
0910    17,Adiantum capillus-veneris,4,7,8,3,0
0920    18,Adonis annua,7,4,7,4,0
0920    19,Adoxa moschatellina,4,5,6,5,0
0920    20,Aegopodium podagraria,6,5,6,7,0
0920  2241,Aesculus hippocastanum,5,5,7,7,0
0920    21,Aethusa cynapium,6,4,7,6,0
0920    22,Agrimonia eupatoria,7,4,7,4,0
0920    23,Agrimonia procera,5,6,7,5,0
0920    34,Agrostemma githago,7,5,6,5,0
0920    35.2,Agrostis canina,7,7,3,3,0
0920    35,Agrostis canina sens.lat.,7,6,3,3,0
0920    40,Agrostis capillaris,6,5,4,4,0
0920    38,Agrostis curtisii,7,6,2,1,0
0920    36,Agrostis gigantea,7,6,6,7,0
0920    39,Agrostis stolonifera,7,6,7,6,1
0920    35.1,Agrostis vinealis,7,6,3,2,0
0920    41,Aira caryophyllea,8,2,5,2,0
0920    42,Aira praecox,8,2,4,2,0
0920    43,Ajuga chamaepitys,7,4,8,2,0
0920    45,Ajuga pyramidalis,7,5,5,2,0
0920    46,Ajuga reptans,5,7,5,5,0
0920    47,Alchemilla acutiloba,7,4,6,5,0
0920    48,Alchemilla alpina,7,5,4,3,0
0920  4480,Alchemilla filicaulis,8,6,6,3,0
0920    51,Alchemilla glabra,7,6,6,4,0
0920    54,Alchemilla glaucescens,7,5,7,5,0
0920    52,Alchemilla glomerulans,7,5,5,4,0
0920  2552,Alchemilla micans,7,5,7,5,0
0920    53,Alchemilla minima,7,6,8,3,0
