"","Site","Neg_Hetero_Index"
"1",1,4
"2",2,4
"3",3,5
"4",4,1
"5",5,3
"6",6,6
"7",7,2
"8",8,2
"9",9,2
"10",10,5
"11",11,2
"12",12,3
"13",13,3
"14",14,5
"15",15,3
"16",16,3
"17",17,2
"18",18,1
"19",19,2
"20",20,5
"21",21,2
"22",22,5
"23",23,11
"24",24,1
"25",25,NA
"26",26,4
"27",27,3
"28",28,1
"29",29,4
"30",30,5
"31",31,NA
"32",32,3
"33",33,1
"34",34,2
"35",35,4
"36",36,3
"37",37,3
"38",38,5
"39",39,4
"40",40,3
"41",41,NA
"42",42,4
"43",43,5
"44",44,3
"45",45,4
"46",46,5
"47",47,4
"48",48,2
"49",49,1
"50",50,6
"51",51,2
"52",52,2
"53",53,13
"54",54,7
"55",55,NA
"56",56,3
"57",57,NA
"58",58,3
"59",59,1
"60",60,2
"61",61,4
"62",62,4
"63",63,3
"64",64,6
"65",65,2
"66",66,4
"67",67,6
"68",68,2
"69",69,1
"70",70,2
"71",71,2
"72",72,2
"73",73,3
"74",74,3
"75",75,2
"76",76,1
"77",77,4
"78",78,2
"79",79,7
"80",80,3
"81",81,3
"82",82,5
"83",83,3
"84",84,6
"85",85,1
"86",86,1
"87",87,2
"88",88,6
"89",89,3
"90",90,3
"91",91,8
"92",92,2
"93",93,1
"94",94,6
"95",95,2
"96",96,1
"97",97,3
"98",98,4
"99",99,4
"100",100,5
"101",101,4
"102",102,2
"103",103,2
