"","x"
"1",93
"2",101
"3",64
"4",66
"5",131
"6",106
"7",60
"8",113
"9",60
"10",72
"11",68
"12",83
"13",102
"14",59
"15",44
"16",86
"17",65
"18",95
"19",63
"20",102
"21",59
"22",69
"23",104
"24",65
"25",69
"26",81
"27",37
"28",48
"29",76
"30",66
"31",90
"32",55
"33",44
"34",56
"35",71
"36",79
"37",63
"38",102
"39",107
"40",135
"41",81
"42",92
"43",106
"44",98
"45",75
"46",89
"47",144
"48",73
"49",45
"50",116
"51",33
"52",48
"53",89
"54",49
"55",57
"56",72
"57",76
"58",91
"59",112
"60",85
"61",82
"62",94
"63",91
"64",77
"65",43
"66",118
"67",64
"68",79
"69",64
"70",55
"71",77
"72",69
"73",66
"74",97
"75",88
"76",57
"77",84
"78",19
"79",88
"80",78
"81",101
"82",66
"83",150
"84",42
"85",73
"86",57
"87",56
"88",97
"89",46
"90",60
"91",124
"92",52
"93",60
"94",107
"95",84
"96",64
"97",62
"98",123
"99",47
"100",34
"101",56
"102",66
"103",77
