"","x"
"1","Agrostis capillaris"
"2","Arrhenatherum elatius"
"3","Brachypodium sylvaticum"
"4","Cirsium arvense"
"5","Dactylis glomerata"
"6","Festuca gigantea"
"7","Lamiastrum galeobdolon"
"8","Galium aparine"
"9","Cruciata laevipes"
"10","Geum urbanum"
"11","Glechoma hederacea"
"12","Heracleum sphondylium"
"13","Holcus lanatus"
"14","Pteridium aquilinum"
"15","Silene dioica"
"16","Rubus fruticosus agg."
"17","Rumex acetosa"
"18","Rumex obtusifolius"
"19","Stachys sylvatica"
"20","Urtica dioica"
"21","Acer pseudoplatanus"
"22","Dryopteris filix-mas"
"23","Corylus avellana"
"24","Fagus sylvatica"
"25","Fraxinus excelsior (c)"
"26","Mercurialis perennis"
"27","Quercus seedling/sp"
"28","Aegopodium podagraria"
"29","Arum maculatum"
"30","Galium odoratum"
"31","Carex sylvatica"
"32","Cerastium fontanum"
"33","Cirsium palustre"
"34","Clematis vitalba"
"35","Cornus sanguinea"
"36","Crataegus monogyna"
"37","Deschampsia cespitosa"
"38","Epilobium montanum"
"39","Epilobium parviflorum"
"40","Eupatorium cannabinum"
"41","Euphorbia amygdaloides"
"42","Geranium robertianum"
"43","Hedera helix"
"44","Hypericum tetrapterum"
"45","Inula conyzae"
"46","Betula pubescens"
"47","Lonicera periclymenum"
"48","Melica uniflora"
"49","Poa nemoralis/trivialis"
"50","Prunella vulgaris"
"51","Veronica chamaedrys"
"52","Viola hirta"
"53","Viola riviniana/reichenbiana"
"54","Acer campestre"
"55","Ajuga reptans"
"56","Bryonia dioica"
"57","Chamerion angustifolium"
"58","Cirsium vulgare"
"59","Primula vulgaris"
"60","Rosa seedling/sp"
"61","Rubus idaeus"
"62","Sambucus nigra"
"63","Torilis japonica"
"64","Prunus sp."
"65","Pseudotsuga spp."
"66","Dryopteris dilatata/carthusiana"
"67","Arctium agg."
"68","Castanea sativa"
"69","Hyacinthoides non-scripta"
"70","Euonymus europaeus"
"71","Salix caprea"
"72","Solanum dulcamara"
"73","Tamus communis"
"74","Agrostis gigantea"
"75","Rumex conglomeratus"
"76","Senecio jacobaea"
"77","Centaurium erythraea"
"78","Circaea lutetiana"
"79","Fragaria vesca"
"80","Odontites vernus"
"81","Poa pratensis sens.lat."
"82","Scrophularia nodosa"
"83","Trifolium pratense"
"84","Trifolium repens"
"85","Betula seedling/sp"
"86","Myosotis seedling/sp"
"87","Juncus effusus"
"88","Campanula latifolia"
"89","Carex flacca"
"90","Epilobium hirsutum"
"91","Ranunculus repens"
"92","Digitalis purpurea"
"93","Hypericum androsaemum"
"94","Prunus laurocerasus"
"95","Sonchus asper"
"96","Agrostis stolonifera"
"97","Mentha aquatica"
"98","Plantago major"
"99","Potentilla reptans"
"100","Taraxacum agg."
"101","Veronica montana"
"102","Veronica serpyllifolia"
