"","Buffer1","Buffer2","Buffer3"
"1",68.9,74.35,73.76
"2",60.59,61.74,60.48
"3",16.04,29.06,27.43
"4",44.75,59.66,57.97
"5",79.91,78.73,77.96
"6",60.8,70.18,72.09
"7",86.75,90.63,86.69
"8",71.06,65.28,70.85
"9",59.4,54.58,50.63
"10",43.31,53.22,59.24
"11",78.73,79.55,79.34
"12",85.12,84.22,82.69
"13",71.05,76.12,77.71
"14",79.94,83.65,86.18
"15",55.96,43.67,36.32
"16",56.65,57.77,64.47
"17",48.98,59.77,57.29
"18",59.99,62.54,62.87
"19",59.6,75.18,77.25
"20",64.31,62.22,62.28
"21",85.02,85.53,87.27
"22",85.32,90.2,89.07
"23",64.55,65.56,67.63
"24",85.36,81.54,80.53
"25",90.48,94,93.42
"26",92.54,89.28,86.72
"27",91.33,89.52,90.46
"28",87.25,89.57,88.88
"29",51.86,61.61,67.7
"30",83.08,86.98,88.45
"31",88.47,92.37,91.38
"32",41.93,60.76,64.6
"33",75.74,76.85,76.59
"34",87.79,90.95,87.38
"35",13.86,35.97,51.39
"36",78.48,69.8,64.28
"37",51.32,46.06,44.83
"38",56.11,51.31,52.64
"39",28.28,29.36,31.55
"40",54.75,60.62,60.51
"41",15.98,7.37,5.16
"42",17.88,14.66,16.68
"43",13.97,9.98,8.73
"44",71.82,56.98,48.28
"45",42.17,38.08,47.44
"46",75.77,76.96,71.85
"47",0.71,1.59,2.17
"48",75.57,70.57,73.16
"49",73.8,68.16,66.94
"50",35.48,31.94,32.55
"51",71.56,72.37,76.58
"52",87.97,85.01,83.6
"53",89.72,91.88,91.31
"54",48.36,36.22,33.84
"55",67.86,75.92,74
"56",71.03,68.47,70.12
"57",72.86,74.94,64.59
"58",61.32,61.1,59.79
"59",21.09,22.37,24.56
"60",47.48,43.73,36.47
"61",38.49,41.23,45.05
"62",46.34,40.62,41.57
"63",56.45,53.87,59.38
"64",34.92,26.9,29.49
"65",84.86,85.2,77.8
"66",94.66,92.64,88.1
"67",62.78,66.73,69.1
"68",62.2,60.21,47.2
"69",54.57,39.5,36.41
"70",67.96,48.14,42.8
"71",70.82,65.76,59.64
"72",40.64,44.59,41.92
"73",23.02,23.58,22.36
"74",0.9,1.14,0.65
"75",25.47,31.14,29.42
"76",0.95,1.15,2.31
"77",13.22,16.86,18.37
"78",55.31,57.22,48.07
"79",50.14,52.54,52.72
"80",61.51,56.06,54.51
"81",70.65,84.19,85.83
"82",25.41,31.41,42.97
"83",52.86,47.29,51.58
"84",2.03,9.35,9.43
"85",22.81,22.42,28.61
"86",22.02,16.65,15.45
"87",48.11,35.84,35.26
"88",37.4,45.69,46.91
"89",76.6,80.88,81.48
"90",34.62,34.27,40.38
"91",54.64,49.69,52.85
"92",38.21,48.43,59.38
"93",73.78,79.24,79.39
"94",45.25,61.81,67.93
"95",48.46,41.83,47.65
"96",81.69,83.42,84.31
"97",83.73,75.55,80.25
"98",30.12,39.68,37.26
"99",90.48,92.19,91.63
"100",56,58.09,60.16
"101",23.68,48.08,59.29
"102",54.1,76.2,84.02
"103",86.83,83.98,84.14
