"","Site","Pos_Hetero_Index"
"1",1,9
"2",2,11
"3",3,10
"4",4,9
"5",5,8
"6",6,20
"7",7,7
"8",8,5
"9",9,4
"10",10,13
"11",11,14
"12",12,12
"13",13,6
"14",14,10
"15",15,6
"16",16,11
"17",17,8
"18",18,7
"19",19,14
"20",20,14
"21",21,12
"22",22,10
"23",23,97
"24",24,6
"25",25,NA
"26",26,14
"27",27,9
"28",28,6
"29",29,14
"30",30,13
"31",31,11
"32",32,17
"33",33,7
"34",34,11
"35",35,15
"36",36,16
"37",37,9
"38",38,12
"39",39,19
"40",40,13
"41",41,6
"42",42,17
"43",43,21
"44",44,6
"45",45,6
"46",46,6
"47",47,13
"48",48,7
"49",49,3
"50",50,16
"51",51,4
"52",52,9
"53",53,78
"54",54,17
"55",55,1
"56",56,6
"57",57,7
"58",58,5
"59",59,10
"60",60,16
"61",61,6
"62",62,18
"63",63,7
"64",64,16
"65",65,11
"66",66,18
"67",67,23
"68",68,8
"69",69,8
"70",70,6
"71",71,8
"72",72,12
"73",73,15
"74",74,12
"75",75,1
"76",76,20
"77",77,11
"78",78,1
"79",79,11
"80",80,9
"81",81,11
"82",82,9
"83",83,11
"84",84,18
"85",85,6
"86",86,7
"87",87,4
"88",88,15
"89",89,14
"90",90,18
"91",91,13
"92",92,11
"93",93,5
"94",94,12
"95",95,16
"96",96,5
"97",97,4
"98",98,9
"99",99,6
"100",100,11
"101",101,6
"102",102,10
"103",103,11
