OBJECTID,BRC_NAMES,BRC_NUMBER,COMMON_NAME,EBERGR,EBERGN,EBERGW,EBERGL,GRIMEC,GRIMES,GRIMER,AWI3,GROWTH_FORM,NATIVE_STATUS
1982,,20000887.5,Rock,0,0,0,0,0,0,0,,,
1997,,200003005,Turnips/Swedes,0,0,0,0,0,0,0,,f,
1983,,200003017,Species A,0,0,0,0,0,0,0,,,
1984,,200003018,Species B,0,0,0,0,0,0,0,,,
1985,,200003019,Species C,0,0,0,0,0,0,0,,,
1986,,200003020,Species D,0,0,0,0,0,0,0,,,
1987,,200003021,Species E,0,0,0,0,0,0,0,,,
1988,,200003022,Species F,0,0,0,0,0,0,0,,,
1989,,200003023,Species G,0,0,0,0,0,0,0,,,
1990,,200003024,Species H,0,0,0,0,0,0,0,,,
1991,,200003025,Species I,0,0,0,0,0,0,0,,,
1992,,200003027,Species K,0,0,0,0,0,0,0,,,
1993,,200003028,Species L,0,0,0,0,0,0,0,,,
1994,,200003032,Species P,0,0,0,0,0,0,0,,,
1995,,200003033,Species Q,0,0,0,0,0,0,0,,,
1996,,200003040,Species X,0,0,0,0,0,0,0,,,
1,Abies alba,9202395,,3,3,6,3,,,,,w,AN
1972,Abies grandis,9202396,,0,0,0,0,0,0,0,,w,AN
2,Abies procera,9202397,,,0,0,0,,,,,w,AN
3,Abies sp.,9204658,,2,3,6,6,,,,,w,
4,Acaena anserinifolia,9202528,,,,,,,,,,f,AN
5,Acaena novae-zelandiae,9202527,,6,3,3,8,,,,,f,AN
6,Acer campestre,9203,Field Maple,7,6,5,5,3,3,1,,w,N
7,Acer platanoides,9204,,7,7,5,4,,,,,w,AN
8,Acer pseudoplatanus,9205,,6,6,5,4,4,2,1,,w,AN
9,Acer seedling/sp,9204661,,,0,0,0,,,,,w,
10,Acer sp.,200001601,,,0,0,0,,,,,w,
11,Achillea millefolium,9207,Yarrow,6,4,5,7,3,2,3,,f,N
12,Achillea ptarmica,9209,Sneezewort,5,3,7,7,3,2,3,,f,N
1759,Aconitum napellus,92014,,,,,,,,,Y,f,NA
13,Acorus calamus,92015,,7,7,10,8,,,,,m,AN
1753,Actaea spicata,92016,,,,,,,,,,f,N
14,Adoxa moschatellina,92019,Moschatel,6,5,5,4,,,,Y,f,N
15,Aegopodium podagraria,92020,,6,7,5,6,3,2,3,,f,AR
16,Aesculus hippocastanum,9202241,,7,7,5,5,,,,,w,AN
17,Aethusa cynapium,92021,Fool's Parsley,7,6,4,6,1,1,5,,f,NA
18,Agrimonia eupatoria,92022,Agrimony,7,4,4,7,3,3,3,,f,N
19,Agrimonia procera,92023,Fragrant Agrimony,7,5,6,5,,,,,f,N
20,Agrostemma githago,92034,,,0,0,0,,,,,f,AR
21,Agrostis canina sens.lat.,92035,,3,3,7,7,3,3,3,,g,N
22,Agrostis canina sens.str.,92035.2,,3,3,7,7,3,3,3,,g,N
23,Agrostis capillaris,92040,Common Bent,4,4,5,6,3,3,3,,g,N
1977,Agrostis castellana,9207141,,0,0,0,0,0,0,0,,g,AN
24,Agrostis curtisii,92038,Bristle Bent,2,1,6,7,,,,,g,N
25,Agrostis gigantea,92036,Black Bent,6,7,6,7,3,1,3,,g,AR
26,Agrostis sp.,9204579,,,0,0,0,,,,,g,
27,Agrostis stolonifera,92039,Creeping Bent,7,6,6,7,3,1,3,,g,N
28,Agrostis vinealis,92035.1,,3,2,6,7,3,3,3,,g,N
29,Ailanthus altissima,9204411,,,0,0,0,,,,,f,AN
30,Aira caryophyllea,92041,Silver Hair-grass,5,2,2,8,1,3,3,,g,N
31,Aira praecox,92042,Early Hair-grass,4,2,2,8,1,3,3,,g,N
32,Ajuga reptans,92046,Bugle,5,5,7,5,3,3,3,,f,N
1930,Alcea rosea,92088,,0,0,0,0,0,0,0,,f,AN
33,Alchemilla alpina,92048,Alpine Lady's-mantle,4,3,5,7,,,,,f,N
34,Alchemilla filicaulis,9204480,,6,3,6,8,,,,Y,f,N
35,Alchemilla glabra,92051,,6,4,6,7,,,,,f,N
36,Alchemilla sp.,9204679,,,0,0,0,,,,,f,
37,Alchemilla vulgaris agg.,92058,,5,3,6,7,2,4,2,,f,N
38,Alchemilla xanthochlora,92060,,6,4,5,6,,,,,f,N
39,Algae,200001623,,,0,0,0,,,,,,
40,Alisma plantago-aquatica,92063,Water-plantain,7,7,10,7,2,1,4,,m,N
41,Alliaria petiolata,92064,Garlic Mustard,7,8,6,5,3,1,3,,f,N
42,Allium carinatum,92067,,7,2,4,8,,,,,m,AN
43,Allium cepa,9209184,,7,8,4,7,,,,,m,AC
44,Allium schoenoprasum,92072,Chives,5,1,6,8,,,,,m,N
45,Allium sp.,200001675,,,0,0,0,,,,,m,
46,Allium ursinum,92075,Ramsons,7,7,6,4,2,3,3,Y,m,N
47,Allium vineale,92076,Wild Onion,8,6,5,7,2,4,2,,m,N
48,Alnus glutinosa,92077,Alder,6,6,8,5,3,3,1,,w,N
49,Alnus incana,92078,,6,4,7,6,,,,,w,AN
50,Alnus sp.,200001602,,,0,0,0,,,,,w,
51,Alopecurus aequalis,92079,Orange Foxtail,4,7,9,8,,,,,g,N
52,Alopecurus geniculatus,92082,Marsh Foxtail,6,6,7,8,3,1,3,,g,N
53,Alopecurus myosuroides,92084,Black-grass,7,6,5,6,,,,,g,AR
54,Alopecurus pratensis,92085,Meadow Foxtail,6,7,5,7,4,2,2,,g,N
55,Alopecurus sp.,9204682,,,0,0,0,,,,,g,
56,Amaranthus sp.,200001604,,,0,0,0,,,,,f,
57,Amblystegium serpens,82019,,,,,,,,,,b,
58,Ammophila arenaria,92097,Marram,6,3,4,9,,,,,g,N
59,Amsinckia micrantha,9202616,,3,3,3,9,0,0,0,,f,AN
60,Amsinckia sp.,200001605,,,0,0,0,,,,,f,
61,Anacamptis pyramidalis,92098,Pyramidal Orchid,8,3,4,8,1,4,2,,m,N
62,Anagallis arvensis,92099,Scarlet Pimpernel,6,5,4,7,1,2,4,,f,N
63,Anagallis minima,920456,Chaffweed,5,3,7,8,,,,,f,N
64,Anagallis sp.,200001580,,0,0,0,0,,,,,f,
65,Anagallis tenella,920100,Bog Pimpernel,5,3,8,8,,,,,f,N
66,Anastrepta orcadensis,810683,,,,,,,,,,b,
67,Anchusa arvensis,9201218,Bugloss,6,5,4,7,2,1,4,,f,AR
68,Andraea sp,200001442,,,,,,,,,,b,
69,Andromeda polifolia,920103,Bog-rosemary,1,1,9,9,,,,,f,N
70,Anemone nemorosa,920105,Wood Anemone,5,4,6,5,2,3,3,Y,f,N
71,Aneura pinguis,810901,,,,,,,,,,b,
72,Angelica archangelica,920108,,,0,0,0,,,,,f,AN
73,Angelica sylvestris,920109,Wild Angelica,6,5,8,7,4,1,2,,f,N
74,Anisantha diandra,920110,,5,4,4,7,,,,,g,AN
75,Anisantha rigida,920112,,8,7,4,8,,,,,g,AN
76,Anisantha sterilis,920113,Barren Brome,8,7,5,7,2,1,4,,g,AR
77,Antennaria dioica,920116,Mountain Everlasting,4,2,5,8,,,,,f,N
78,Anthelia julacea,810686,,,,,,,,,,b,
79,Anthemis arvensis,920117,Corn Chamomile,7,6,4,7,,,,,f,AR
80,Anthemis cotula,920118,Stinking Mayweed,6,6,5,7,,,,,f,AR
81,Anthemis sp.,9204698,,,,,,,,,,f,
82,Anthoxanthum odoratum,920121,Sweet Vernal-Grass,4,3,6,7,2,3,3,,g,N
83,Anthriscus caucalis,920123,Bur Chervil,6,5,5,7,,,,,f,N
84,Anthriscus sylvestris,920125,Cow Parsley,7,7,5,6,3,1,3,,f,N
85,Anthyllis vulneraria,920126,Kidney Vetch,7,2,4,8,1,4,2,,f,N
86,Apera sp.,9204703,,8,6,9,9,,,,,g,
87,Apera spica-venti,920130,Loose Silky-bent,5,5,4,7,,,,,g,AR
88,Aphanes arvensis sens.str.,920132,,6,4,4,8,1,2,4,,f,N
89,Aphanes inexspectata,920133,,5,4,4,7,,,,,f,N
90,Aphanes spp.,9204704,,6,5,4,7,,,,,f,
91,Apium graveolens,920134,Wild Celery,7,7,8,8,,,,,f,N
