,x
1,Acer campestre
2,Acer pseudoplatanus
3,Aegopodium podagraria
4,Agrostis capillaris
5,Agrostis gigantea
6,Agrostis stolonifera
7,Ajuga reptans
8,Arctium agg.
9,Arrhenatherum elatius
10,Arum maculatum
11,Betula pubescens
12,Betula seedling/sp
13,Brachypodium sylvaticum
14,Bryonia dioica
15,Campanula latifolia
16,Carex flacca
17,Carex sylvatica
18,Castanea sativa
19,Centaurium erythraea
20,Cerastium fontanum
21,Chamerion angustifolium
22,Circaea lutetiana
23,Cirsium arvense
24,Cirsium palustre
25,Cirsium vulgare
26,Clematis vitalba
27,Cornus sanguinea
28,Corylus avellana
29,Crataegus monogyna
30,Cruciata laevipes
31,Dactylis glomerata
32,Deschampsia cespitosa
33,Digitalis purpurea
34,Dryopteris dilatata/carthusiana
35,Dryopteris filix-mas
36,Epilobium hirsutum
37,Epilobium montanum
38,Epilobium parviflorum
39,Euonymus europaeus
40,Eupatorium cannabinum
41,Euphorbia amygdaloides
42,Fagus sylvatica
43,Festuca gigantea
44,Fragaria vesca
45,Fraxinus excelsior (c)
46,Galium aparine
47,Galium odoratum
48,Geranium robertianum
49,Geum urbanum
50,Glechoma hederacea
51,Hedera helix
52,Heracleum sphondylium
53,Holcus lanatus
54,Hyacinthoides non-scripta
55,Hypericum androsaemum
56,Hypericum tetrapterum
57,Inula conyzae
58,Juncus effusus
59,Lamiastrum galeobdolon
60,Lonicera periclymenum
61,Melica uniflora
62,Mentha aquatica
63,Mercurialis perennis
64,Myosotis seedling/sp
65,Odontites vernus
66,Plantago major
67,Poa nemoralis/trivialis
68,Poa pratensis sens.lat.
69,Potentilla reptans
70,Primula vulgaris
71,Prunella vulgaris
72,Prunus laurocerasus
73,Prunus sp.
74,Pseudotsuga spp.
75,Pteridium aquilinum
76,Quercus seedling/sp
77,Ranunculus repens
78,Rosa seedling/sp
79,Rubus fruticosus agg.
80,Rubus idaeus
81,Rumex acetosa
82,Rumex conglomeratus
83,Rumex obtusifolius
84,Salix caprea
85,Sambucus nigra
86,Scrophularia nodosa
87,Senecio jacobaea
88,Silene dioica
89,Solanum dulcamara
90,Sonchus asper
91,Stachys sylvatica
92,Tamus communis
93,Taraxacum agg.
94,Torilis japonica
95,Trifolium pratense
96,Trifolium repens
97,Urtica dioica
98,Veronica chamaedrys
99,Veronica montana
100,Veronica serpyllifolia
101,Viola hirta
102,Viola riviniana/reichenbiana
